e1000216-1,1000 CEOs,e1000216
e1000216-2,50 Key Concepts in Gender Studies,e1000216
e1000216-3, A Biographical Dictionary of Artists, Andromeda ,e1000216
e1000216-4,A Biographical Dictionary of Dissenting Economists,e1000216
e1000216-5,A Biographical Dictionary of People in Engineering: From Earliest Records to 2000,e1000216
e1000216-6,A Biographical Dictionary of Women Economists,e1000216
e1000216-7,A Dictionary of Contemporary History - 1945 to the present,e1000216
e1000216-8,A Dictionary of Diplomacy,e1000216
e1000216-9,A Dictionary of Literary Symbols,e1000216
e1000216-10,A Dictionary of Philosophical Logic,e1000216
e1000216-11, A Dictionary of Philosophy, Macmillan ,e1000216
e1000216-12,A Dictionary of Sociolinguistics,e1000216
e1000216-13,A Dictionary of Travel and Tourism Terminology,e1000216
e1000216-14,A Financial History of Modern U.S. Corporate Scandals from Enron to Reform,e1000216
e1000216-15,A Financial History of the United States,e1000216
e1000216-16,A Glossary of Political Theory,e1000216
e1000216-17,A Glossary of UK Government and Politics,e1000216
e1000216-18, A Guide to the Ancient World, H.W. Wilson ,e1000216
e1000216-19,A Handbook of Globalisation and Environmental Policy,e1000216
e1000216-20,A Historical Companion to Postcolonial Literatures: Continental Europe and its Empires,e1000216
e1000216-21,A History of Feminist Literary Criticism,e1000216
e1000216-22,A History of South African Literature,e1000216
e1000216-23,Academic Press Dictionary of Science and Technology,e1000216
e1000216-24,Aesthetics A-Z,e1000216
e1000216-25,Africa and the Americas: Culture, Politics, and History,e1000216
e1000216-26,African-American Writers: A Dictionary,e1000216
e1000216-27,Alcohol and Temperance in Modern History: An International Encyclopedia,e1000216
e1000216-28,All Things Chaucer: An Encyclopedia of Chaucer's World,e1000216
e1000216-29,American Environmental Leaders: From Colonial Times to the Present,e1000216
e1000216-30,The American Heritage Dictionary of Idioms e,e1000216
e1000216-31,American Human Development Project: The Measure of America 2010-2011: Mapping Risks and Resilience,e1000216
e1000216-32,An African Biographical Dictionary,e1000216
e1000216-33,An Encyclopedia of Keynesian Economics,e1000216
e1000216-34,An Encyclopedia of Macroeconomics,e1000216
e1000216-35,An Illustrated Dictionary of Aviation,e1000216
e1000216-36,Andromeda Encyclopedic Dictionary of World History,e1000216
e1000216-37,Animals and Science: A Guide to the Debates,e1000216
e1000216-38,Animals: A Visual Encyclopedia,e1000216
e1000216-39,Astronomy Encyclopedia,e1000216
e1000216-40, Atlas of the Bible, Andromeda ,e1000216
e1000216-41,Atlas of the Universe,e1000216
e1000216-42,Baillière's Midwives' Dictionary,e1000216
e1000216-43,BCS Glossary of Computing and ICT,e1000216
e1000216-44,Benders' Dictionary of Nutrition and Food Technology,e1000216
e1000216-45,Biographical Dictionary of 20th Century Philosophers,e1000216
e1000216-46,Biographical Dictionary of Modern Egypt,e1000216
e1000216-47,Biographical Dictionary of Psychology,e1000216
e1000216-48,Biographical Dictionary of Social and Cultural Anthropology,e1000216
e1000216-49,Biographical Dictionary of Transcendentalism,e1000216
e1000216-50,Black Firsts,e1000216
e1000216-51, Black's Medical Dictionary, 42nd Edition ,e1000216
e1000216-52,Black's Veterinary Dictionary,e1000216
e1000216-53,Bloomsbury Biographical Dictionary of Quotations,e1000216
e1000216-54,Bloomsbury Dictionary of Myth,e1000216
e1000216-55,Bloomsbury Guide to Human Thought,e1000216
e1000216-56,Bloomsbury Thematic Dictionary of Quotations,e1000216
e1000216-57,Bloomsbury Thesaurus,e1000216
e1000216-58,Book of Bible Quotations,e1000216
e1000216-59,Brewer's Britain and Ireland,e1000216
e1000216-60,Brewer's Curious Titles,e1000216
e1000216-61,Brewer's Dictionary of Irish Phrase and Fable,e1000216
e1000216-62,Brewer's Dictionary of Modern Phrase and Fable,e1000216
e1000216-63,Brewer's Dictionary of Phrase and Fable,e1000216
e1000216-64, Britain and the Americas: Culture, Politics, and History ,e1000216
e1000216-65,Britannica Concise Encyclopedia,e1000216
e1000216-66, Business French Dictionary, Peter Collin Publishing ,e1000216
e1000216-67, Business German Dictionary, Peter Collin Publishing ,e1000216
e1000216-68, Business Spanish Dictionary, Peter Collin Publishing ,e1000216
e1000216-69,BUSINESS: The Ultimate Resource,e1000216
e1000216-70,Cambridge Dictionary of Christian Theology,e1000216
e1000216-71,Cambridge Dictionary of Human Biology and Evolution,e1000216
e1000216-72,Cambridge Dictionary of Sociology,e1000216
e1000216-73,Cambridge Encyclopedia of Child Development,e1000216
e1000216-74,Cambridge Handbook of Consciousness,e1000216
e1000216-75,Cambridge Handbook of Expertise and Expert Performance,e1000216
e1000216-76,Cambridge Handbook of Personal Relationships,e1000216
e1000216-77, Cambridge Handbook of Psychology, Health and Medicine ,e1000216
